m,r,l,P,T,rho,epsilon,nabla,convective_status
1.485189983961611e+33,21373257488.26179,1.0658739791902877e+34,2.0362769931675012e+16,8529120.312357962,17.658763229659186,0.3694016394919789,[0.2311574],0
1.4858614080049932e+33,21379881086.515476,1.0658988450029905e+34,2.033747214227991e+16,8526680.061598279,17.64187111957225,0.36853257118393307,[0.23111045],0
1.4865328320483754e+33,21386506895.161568,1.065923653570149e+34,2.0312195342330504e+16,8524240.123963036,17.624986902097326,0.36766523766896325,[0.23106349],0
1.4872042560917577e+33,21393134917.7712,1.0659484049866216e+34,2.028693951071295e+16,8521800.496099154,17.608110574494464,0.3667996353349097,[0.23101652],0
1.48787568013514e+33,21399765157.92588,1.0659730993471883e+34,2.026170462635929e+16,8519361.174661573,17.591242134015474,0.3659357605806005,[0.23096955],0
1.4885471041785225e+33,21406397619.217537,1.0659977367465504e+34,2.0236490668247412e+16,8516922.156313255,17.574381577903978,0.3650736098158194,[0.23092257],0
1.4892185282219045e+33,21413032305.24847,1.066022317279331e+34,2.0211297615401124e+16,8514483.437725188,17.55752890339557,0.3642131794612682,[0.23087558],0
1.489889952265287e+33,21419669219.631397,1.0660468410400738e+34,2.0186125446890024e+16,8512045.015576372,17.54068410771784,0.36335446594851756,[0.23082859],0
1.490561376308669e+33,21426308365.989407,1.0660713081232452e+34,2.0160974141829664e+16,8509606.886553835,17.52384718809057,0.36249746571998254,[0.23078159],0
1.4912328003520516e+33,21432949747.95601,1.0660957186232316e+34,2.013584367938137e+16,8507169.047352625,17.5070181417257,0.3616421752288721,[0.23073458],0
1.4919042243954336e+33,21439593369.17508,1.066120072634342e+34,2.011073403875244e+16,8504731.494675813,17.4901969658276,0.3607885909391621,[0.23068757],0
1.4925756484388162e+33,21446239233.30092,1.0661443702508064e+34,2.008564519919595e+16,8502294.225234486,17.473383657593004,0.35993670932554656,[0.23064056],0
1.4932470724821982e+33,21452887343.9982,1.0661686115667758e+34,2.006057714001092e+16,8499857.235747762,17.45657821421123,0.35908652687340814,[0.23059353],0
1.4939184965255807e+33,21459537704.94201,1.0661927966763234e+34,2.0035529840542156e+16,8497420.52294277,17.439780632864192,0.35823804007877563,[0.23054651],0
1.4945899205689627e+33,21466190319.817802,1.0662169256734432e+34,2.0010503280180424e+16,8494984.083554668,17.422990910726604,0.3573912454482854,[0.23049948],0
1.4952613446123453e+33,21472845192.32147,1.066240998652051e+34,1.998549743836227e+16,8492547.914326629,17.40620904496595,0.3565461394991483,[0.23045245],0
1.4959327686557273e+33,21479502326.159252,1.0662650157059841e+34,1.9960512294570204e+16,8490112.012009855,17.389435032742714,0.3557027187591104,[0.23040541],0
1.4966041926991098e+33,21486161725.047825,1.0662889769290007e+34,1.9935547828332496e+16,8487676.373363564,17.37266887121036,0.3548609797664106,[0.23035837],0
1.4972756167424918e+33,21492823392.714226,1.066312882414781e+34,1.9910604019223388e+16,8485240.995154997,17.355910557515564,0.3540209190697539,[0.23031133],0
1.4979470407858744e+33,21499487332.895912,1.0663367322569264e+34,1.98856808468629e+16,8482805.874159414,17.33916008879816,0.35318253322825993,[0.23026428],0
1.4986184648292566e+33,21506153549.34073,1.0663605265489597e+34,1.9860778290917e+16,8480371.007160103,17.322417462191403,0.35234581881144217,[0.23021723],0
1.499289888872639e+33,21512822045.806904,1.0663842653843251e+34,1.9835896331097468e+16,8477936.390948366,17.30568267482194,0.3515107723991582,[0.23017019],0
1.4999613129160212e+33,21519492826.06308,1.0664079488563884e+34,1.9811034947161984e+16,8475502.022323532,17.288955723809973,0.35067739058157715,[0.23012314],0
1.5006327369594035e+33,21526165893.888283,1.0664315770584367e+34,1.9786194118914084e+16,8473067.898092948,17.272236606269352,0.3498456699591458,[0.23007608],0
1.5013041610027857e+33,21532841253.071938,1.0664551500836786e+34,1.976137382620317e+16,8470634.015071983,17.25552531930767,0.3490156071425493,[0.23002903],0
1.501975585046168e+33,21539518907.41386,1.066478668025244e+34,1.973657404892451e+16,8468200.370084029,17.23882186002635,0.3481871987526718,[0.22998198],0
1.5026470090895503e+33,21546198860.724266,1.066502130976184e+34,1.9711794767019264e+16,8465766.959960496,17.22212622552079,0.3473604414205671,[0.22993492],0
1.5033184331329325e+33,21552881116.82377,1.0665255390294723e+34,1.968703596047443e+16,8463333.78154082,17.205438412880408,0.34653533178741536,[0.22988787],0
1.5039898571763148e+33,21559565679.543365,1.0665488922780024e+34,1.96622976093229e+16,8460900.831672458,17.18875841918878,0.34571186650449404,[0.22984082],0
1.504661281219697e+33,21566252552.724464,1.0665721908145903e+34,1.963757969364341e+16,8458468.107210882,17.172086241523733,0.34489004223313385,[0.22979376],0
1.5053327052630794e+33,21572941740.218853,1.066595434731973e+34,1.9612882193560584e+16,8456035.605019595,17.155421876957426,0.34406985564469145,[0.22974671],0
1.5060041293064616e+33,21579633245.888725,1.0666186241228095e+34,1.9588205089244908e+16,8453603.321970113,17.138765322556505,0.34325130342050486,[0.22969966],0
1.506675553349844e+33,21586327073.606667,1.0666417590796795e+34,1.9563548360912736e+16,8451171.25494198,17.122116575382123,0.3424343822518656,[0.22965261],0
1.5073469773932262e+33,21593023227.255653,1.066664839695084e+34,1.9538911988826292e+16,8448739.400822755,17.105475632490123,0.3416190888399779,[0.22960557],0
1.5080184014366088e+33,21599721710.72907,1.0666878660614467e+34,1.9514295953293656e+16,8446307.756508024,17.08884249093106,0.3408054198959241,[0.22955852],0
1.5086898254799907e+33,21606422527.93067,1.0667108382711114e+34,1.9489700234668824e+16,8443876.318901394,17.072217147750415,0.3399933721406347,[0.22951148],0
1.5093612495233733e+33,21613125682.774643,1.0667337564163437e+34,1.946512481335157e+16,8441445.084914487,17.055599599988522,0.33918294230484297,[0.22946444],0
1.5100326735667553e+33,21619831179.185524,1.0667566205893309e+34,1.944056966978765e+16,8439014.051466957,17.038989844680877,0.33837412712905973,[0.2294174],0
1.5107040976101378e+33,21626539021.098297,1.0667794308821818e+34,1.9416034784468576e+16,8436583.215486467,17.022387878858055,0.337566923363531,[0.22937037],0
1.5113755216535198e+33,21633249212.45829,1.0668021873869261e+34,1.939152013793183e+16,8434152.573908715,17.005793699545954,0.3367613277682104,[0.22932334],0
1.5120469456969024e+33,21639961757.221264,1.0668248901955154e+34,1.936702571076067e+16,8431722.123677406,16.98920730376576,0.3359573371127144,[0.22927631],0
1.5127183697402844e+33,21646676659.353348,1.0668475393998224e+34,1.9342551483584316e+16,8429291.861744283,16.972628688534208,0.33515494817630015,[0.22922929],0
1.513389793783667e+33,21653393922.831097,1.0668701350916417e+34,1.931809743707776e+16,8426861.785069093,16.956057850863516,0.33435415774781785,[0.22918228],0
1.514061217827049e+33,21660113551.641422,1.0668926773626888e+34,1.9293663551961956e+16,8424431.890619619,16.93949478776165,0.33355496262568735,[0.22913526],0
1.5147326418704315e+33,21666835549.78167,1.066915166304601e+34,1.926924980900363e+16,8422002.175371654,16.922939496232246,0.332757359617853,[0.22908826],0
1.5154040659138135e+33,21673559921.259544,1.0669376020089368e+34,1.924485618901549e+16,8419572.636309022,16.906391973274907,0.3319613455417633,[0.22904126],0
1.516075489957196e+33,21680286670.09318,1.066959984567176e+34,1.9220482672855984e+16,8417143.270423561,16.889852215885128,0.33116691722432223,[0.22899426],0
1.516746914000578e+33,21687015800.31108,1.0669823140707203e+34,1.9196129241429556e+16,8414714.074715137,16.873320221054538,0.3303740715018669,[0.22894727],0
1.5174183380439606e+33,21693747315.952156,1.0670045906108928e+34,1.917179587568641e+16,8412285.046191629,16.856795985770894,0.32958280522012207,[0.22890029],0
